tweet_text,confidence,sentiment
This drought is terrible. The grass is brown and the trees are dying. #savewater,0.7076,Negative
Check out this cool video I made. It's a compilation of my favorite moments from the past year. #memories {link},0.6565,Tweet not related to weather condition
Feeling festive in my new hat. It's so cute and colorful. #halloween,0.7726,Positive
This wind is annoying. It's blowing my hair everywhere. #badhairday,0.7259,Negative
@mention That's awesome. I'm happy for you. #goodnews,0.6119,Neutral / author is just sharing information
Going to a concert with my girlfriend. It's our favorite band. #romantic {link},0.6978,Tweet not related to weather condition
Today is a beautiful day. The sun is shining and the birds are singing. #happy,0.8387,Positive
I hate this weather. It's so hot and dry. #firehazard,0.7412,Negative
@mention That's terrible. I'm sorry to hear that. #sorry,0.6312,Neutral / author is just sharing information
Having a spa day with my mom. It's so relaxing and soothing. #treatyourself,0.7814,Positive
This flood is devastating. I hope everyone is okay. #help,0.7296,Negative
Look at this awesome cake I made. It's chocolate with vanilla frosting. #delicious {link},0.6446,Tweet not related to weather condition
Feeling adventurous in my new boots. They're so comfy and stylish. #boots,0.7629,Positive
This weather is boring. It's always cloudy and gray. #dull,0.7374,Negative
@mention That's hilarious. I can't stop laughing. #lol,0.6214,Neutral / author is just sharing information
Going to the zoo with my kids. They're so excited to see the animals. #fun {link},0.7059,Tweet not related to weather condition
Today is a wonderful day. The sky is clear and the temperature is mild. #perfect,0.8411,Positive
I hate this weather. It's so cold and snowy. #freezing,0.7447,Negative
@mention That's awesome. I'm glad you liked it. #yourewelcome,0.6317,Neutral / author is just sharing information
Having a pizza party with my friends. The pizza is cheesy and the weather is breezy. #pizza,0.7947,Positive
This earthquake is terrifying. I hope everyone is safe and sound. #earthquake,0.7275,Negative
Look at this amazing painting I made. It's inspired by the colors of the autumn. #art {link},0.6527,Tweet not related to weather condition
Feeling sporty in my new jersey. It's so cool and comfortable. #soccer,0.7712,Positive
This weather is awful. It's raining cats and dogs. #wet,0.7391,Negative
@mention That's great. I'm happy for you. #congrats,0.6219,Neutral / author is just sharing information
Going to the mall with my sister. We're going to buy some new clothes and accessories. #shopping {link},0.7039,Tweet not related to weather condition
Today is a lovely day. The clouds are fluffy and the wind is gentle. #calm,0.8434,Positive
I hate this weather. It's so hot and humid. #sticky,0.7481,Negative
@mention That's awful. I hope you feel better soon. #getwellsoon,0.6412,Neutral / author is just sharing information
Having a tea party with my daughter. She's so adorable and the weather is nice. #tea,0.7961,Positive
This tornado is frightening. I hope everyone is safe and sound. #tornado,0.7254,Negative
Look at this cute kitten I adopted. She's so fluffy and cuddly. #catlover {link},0.6609,Tweet not related to weather condition
Feeling elegant in my new dress. It's so chic and classy. #dress,0.7696,Positive
This weather is terrible. It's stormy and dark. #thunder,0.7426,Negative
@mention That's amazing. I'm proud of you. #well done,0.6321,Neutral / author is just sharing information
Going to the park with my dog. He's so happy and the weather is sunny. #doglover {link},0.7119,Positive
This heat is unbearable. I need some ice cream. #icecream,0.7156,Negative
Look at this funny meme I found. It's so relatable and hilarious. #meme {link},0.6688,Tweet not related to weather condition
Feeling smart in my new glasses. They're so trendy and practical. #glasses,0.7679,Positive
This weather is horrible. It's foggy and smoggy. #pollution,0.7462,Negative
@mention That's awesome. I'm happy for you. #awesome,0.6426,Neutral / author is just sharing information
Going to the library with my friend. We're going to read some books and enjoy the quiet. #library {link},0.7098,Tweet not related to weather condition
Today is a splendid day. The rainbow is bright and the rain is light. #rainbow,0.8458,Positive
I hate this weather. It's so windy and dusty. #dusty,0.7514,Negative
@mention That's terrible. I'm sorry to hear that. #condolences,0.6507,Neutral / author is just sharing information
Having a coffee break with my colleague. We're chatting about the latest news and the weather. #coffee,0.7974,Positive
This weather is dreadful. It's icy and slippery. #icy,0.7548,Negative
@mention That's wonderful. I'm happy for you. #wonderful,0.6532,Neutral / author is just sharing information
Going to the gym with my brother. We're going to work out and get fit. #fitness {link},0.7158,Tweet not related to weather condition
Today is a marvelous day. The sun is bright and the air is crisp. #marvelous,0.8471,Positive
I hate this weather. It's so cloudy and rainy. #cloudy,0.7567,Negative
@mention That's fantastic. I'm proud of you. #fantastic,0.6637,Neutral / author is just sharing information
Going to the museum with my class. We're going to learn about history and culture. #museum {link},0.7218,Tweet not related to weather condition
Today is a glorious day. The stars are twinkling and the moon is full. #glorious,0.8485,Positive
I hate this weather. It's so smoky and hazy. #smoky,0.7619,Negative
@mention That's incredible. I'm amazed by you. #incredible,0.6743,Neutral / author is just sharing information
Going to the carnival with my cousin. We're going to have fun and enjoy the rides. #carnival {link},0.7277,Tweet not related to weather condition
Today is a fabulous day. The flowers are fragrant and the bees are buzzing. #fabulous,0.8498,Positive
I hate this weather. It's so stormy and windy. #stormy,0.7671,Negative
Going to the spa with my aunt. We're going to relax and pamper ourselves. #spa {link},0.7337,Tweet not related to weather condition
Today is a magnificent day. The birds are chirping and the sky is blue. #magnificent,0.8512,Positive
I hate this weather. It's so foggy and misty. #foggy,0.7724,Negative
@mention That's splendid. I'm impressed by you. #splendid,0.6956,Neutral / author is just sharing information
Going to the bakery with my grandma. We're going to buy some bread and pastries. #bakery {link},0.7396,Tweet not related to weather condition
Today is a terrific day. The grass is green and the sun is warm. #terrific,0.8525,Positive
I hate this weather. It's so humid and sticky. #humid,0.7776,Negative
@mention That's excellent. I'm glad you liked it. #excellent,0.7063,Neutral / author is just sharing information
Going to the farm with my nephew. We're going to see some animals and feed them. #farm {link},0.7456,Tweet not related to weather condition
Today is a wonderful day. The breeze is gentle and the clouds are soft. #wonderful,0.8539,Positive
I hate this weather. It's so hot and dry. #hot,0.783,Negative
@mention That's superb. I'm delighted for you. #superb,0.717,Neutral / author is just sharing information
Going to the beach with my girlfriend. We're going to swim and sunbathe. #beach {link},0.7515,Tweet not related to weather condition
Today is a fantastic day. The snow is white and the trees are frosty. #fantastic,0.8552,Positive
I hate this weather. It's so cold and wet. #cold,0.7883,Negative
@mention That's amazing. I'm proud of you. #amazing,0.7277,Neutral / author is just sharing information
Going to the casino with my husband. We're going to gamble and have fun. #casino {link},0.7575,Tweet not related to weather condition
Today is a brilliant day. The lake is calm and the fish are jumping. #brilliant,0.8566,Positive
I hate this weather. It's so dark and gloomy. #dark,0.7937,Negative
Going to the concert with my wife. We're going to listen to some music and dance. #concert {link},0.7634,Tweet not related to weather condition
Today is a beautiful day. The rainbow is colorful and the rain is gentle. #beautiful,0.858,Positive
I hate this weather. It's so dusty and dirty. #dusty,0.799,Negative
@mention That's awesome. I'm glad you enjoyed it. #awesome,0.7492,Neutral / author is just sharing information
Going to the cinema with my boyfriend. We're going to watch a movie and cuddle. #cinema {link},0.7694,Tweet not related to weather condition
Today is a lovely day. The sun is shining and the air is fresh. #lovely,0.8593,Positive
I hate this weather. It's so rainy and muddy. #rainy,0.8044,Negative
@mention That's fantastic. I'm impressed by you. #fantastic,0.76,Neutral / author is just sharing information
Going to the park with my dog. We're going to play and run. #park {link},0.7753,Tweet not related to weather condition
Today is a great day. The sky is clear and the temperature is mild. #great,0.8607,Positive
I hate this weather. It's so smoggy and polluted. #smoggy,0.8097,Negative
Going to the restaurant with my family. We're going to eat some delicious food and chat. #restaurant {link},0.7813,Tweet not related to weather condition
Today is a nice day. The flowers are blooming and the bees are humming. #nice,0.862,Positive
I hate this weather. It's so windy and noisy. #windy,0.8151,Negative
@mention That's splendid. I'm delighted for you. #splendid,0.7815,Neutral / author is just sharing information
Going to the club with my friends. We're going to drink and party. #club {link},0.7872,Tweet not related to weather condition
Today is a good day. The grass is soft and the birds are singing. #good,0.8634,Positive
Having a smoothie break with my neighbor. We're talking about the latest gossip and the weather. #smoothie,0.7997,Positive
This weather is awful. It's snowy and icy. #snowy,0.7603,Negative
@mention That's excellent. I'm happy for you. #excellent,0.6639,Neutral / author is just sharing information
Going to the bookstore with my dad. We're going to buy some books and magazines. #bookstore {link},0.7891,Tweet not related to weather condition
Today is a awesome day. The stars are bright and the night is cool. #awesome,0.8648,Positive
I hate this weather. It's so rainy and foggy. #rainy,0.816,Negative
@mention That's superb. I'm proud of you. #superb,0.7744,Neutral / author is just sharing information
Going to the market with my mom. We're going to buy some fruits and vegetables. #market {link},0.795,Tweet not related to weather condition
Today is a amazing day. The sun is warm and the breeze is gentle. #amazing,0.8661,Positive
I hate this weather. It's so hot and humid. #hot,0.8216,Negative
@mention That's wonderful. I'm glad you liked it. #wonderful,0.785,Neutral / author is just sharing information
Going to the cafe with my sister. We're going to have some coffee and cake. #cafe {link},0.801,Tweet not related to weather condition
Today is a lovely day. The flowers are blooming and the birds are chirping. #lovely,0.8675,Positive
I hate this weather. It's so cold and windy. #cold,0.8273,Negative
@mention That's awesome. I'm impressed by you. #awesome,0.7957,Neutral / author is just sharing information
Going to the salon with my friend. We're going to get our hair and nails done. #salon {link},0.8069,Tweet not related to weather condition
Today is a beautiful day. The sky is blue and the clouds are fluffy. #beautiful,0.8688,Positive
I hate this weather. It's so cloudy and gloomy. #cloudy,0.833,Negative
@mention That's fantastic. I'm happy for you. #fantastic,0.8063,Neutral / author is just sharing information
Going to the pizza place with my brother. We're going to eat some pizza and salad. #pizza {link},0.8129,Tweet not related to weather condition
Today is a great day. The grass is green and the sun is shining. #great,0.8702,Positive
Going to the gym with my cousin. We're going to work out and sweat. #gym {link},0.8188,Tweet not related to weather condition
Today is a nice day. The air is fresh and the temperature is mild. #nice,0.8715,Positive
Going to the mall with my girlfriend. We're going to shop and have fun. #mall {link},0.8248,Tweet not related to weather condition
Today is a good day. The wind is gentle and the rain is light. #good,0.8729,Positive
I hate this weather. It's so stormy and thunderous. #stormy,0.8502,Negative
@mention That's wonderful. I'm proud of you. #wonderful,0.8383,Neutral / author is just sharing information
Today is a fabulous day. The rainbow is colorful and the rain is gentle. #fabulous,0.8742,Positive
Going to the movies with my boyfriend. We're going to watch a romantic comedy and laugh. #movies {link},0.8367,Tweet not related to weather condition
Today is a terrific day. The snow is white and the trees are frosty. #terrific,0.8756,Positive
@mention That's superb. I'm happy for you. #superb,0.8596,Neutral / author is just sharing information
Going to the museum with my dad. We're going to see some paintings and sculptures. #museum {link},0.8426,Tweet not related to weather condition
Today is a wonderful day. The sun is bright and the air is crisp. #wonderful,0.8769,Positive
I hate this weather. It's so cold and snowy. #cold,0.8674,Negative
Going to the bakery with my mom. We're going to buy some bread and pastries. #bakery {link},0.8486,Tweet not related to weather condition
Going to the bookstore with my sister. We're going to buy some books and magazines. #bookstore {link},0.8545,Tweet not related to weather condition
I hate this weather. It's so windy and dusty. #windy,0.8789,Negative
Going to the cafe with my friend. We're going to have some coffee and cake. #cafe {link},0.8605,Tweet not related to weather condition
Going to the salon with my aunt. We're going to get our hair and nails done. #salon {link},0.8664,Tweet not related to weather condition
Going to the market with my grandma. We're going to buy some fruits and vegetables. #market {link},0.8843,Tweet not related to weather condition
Having a salad break with my coworker. We're talking about the latest project and the weather. #salad,0.6423,Positive
This weather is terrible. It's hazy and smoggy. #hazy,0.7626,Negative
Having a sushi break with my boss. We're talking about the latest deal and the weather. #sushi,0.6378,Positive
Going to the zoo with my nephew. We're going to see some animals and feed them. #zoo {link},0.6534,Positive
Feeling cozy in my new blanket. It's so soft and warm. #cozy,0.6621,Positive
Going to the concert with my wife. It's our favorite band. #concert {link},0.6789,Positive
Feeling grateful for this sunny day. It's been raining for weeks. #grateful,0.6923,Positive
Going to the farm with my kids. They're so excited to see the animals. #farm {link},0.7042,Positive
Feeling festive in my new hat. It's so cute and colorful. #festive,0.7136,Positive
Going to the beach with my girlfriend. It's going to be so much fun. #beach {link},0.7239,Positive
Feeling smart in my new glasses. They're so trendy and practical. #smart,0.7325,Positive
Going to the movies with my bestie. We're watching the new Marvel movie. #movies {link},0.7428,Positive
Feeling sporty in my new jersey. It's so cool and comfortable. #sporty,0.7514,Positive
Going to the park with my dog. He's so happy and the weather is sunny. #park {link},0.7619,Positive
Feeling elegant in my new dress. It's so chic and classy. #elegant,0.7697,Positive
Feeling adventurous in my new boots. They're so comfy and stylish. #adventurous,0.7863,Positive
Going to the spa with my mom. It's so relaxing and soothing. #spa {link},0.7949,Positive
Feeling festive in my new sweater. It's so soft and warm. #festive,0.8027,Positive
Feeling cozy in my new pajamas. They're so cute and comfy. #cozy,0.8192,Positive
@mention That's amazing. I'm happy for you. #amazing,0.6754,Neutral / author is just sharing information
Going to the library with my mom. We're going to read some books and magazines. #library {link},0.7934,Tweet not related to weather condition
Going to the market with my dad. We're going to buy some fruits and vegetables. #market {link},0.7991,Tweet not related to weather condition
Going to the cafe with my brother. We're going to have some coffee and cake. #cafe {link},0.805,Tweet not related to weather condition
Going to the pizza place with my sister. We're going to eat some pizza and salad. #pizza {link},0.8167,Tweet not related to weather condition
@mention I’m sorry to hear that. I hope you are safe and well. #sorry,0.6721,Neutral / author is just sharing information
Going to the beach with my friends. We’re going to have fun and enjoy the waves. #beach {link},0.7294,Tweet not related to weather condition
Today is a terrible day. The rain is pouring and the thunder is roaring. #terrible,0.7629,Negative
I love this weather. It’s so crisp and clear. #crisp,0.8517,Positive
@mention That’s awesome. I’m happy for you. #awesome,0.6738,Neutral / author is just sharing information
Going to the park with my dog. We’re going to have fun and enjoy the grass. #park {link},0.7286,Tweet not related to weather condition
Today is a wonderful day. The breeze is gentle and the birds are singing. #wonderful,0.8549,Positive
I hate this weather. It’s so humid and sticky. #humid,0.7665,Negative
@mention I’m glad to hear that. I hope you have a great day. #glad,0.6714,Neutral / author is just sharing information
Going to the library with my sister. We’re going to read and learn. #library {link},0.7221,Tweet not related to weather condition
Today is a beautiful day. The sky is blue and the clouds are white. #beautiful,0.8562,Positive
I hate this weather. It’s so foggy and gloomy. #foggy,0.7647,Negative
@mention I’m worried about you. I hope you are okay. #worried,0.6708,Neutral / author is just sharing information
Going to the cinema with my brother. We’re going to watch and enjoy. #cinema {link},0.7268,Tweet not related to weather condition
Today is a lovely day. The sun is shining and the flowers are blooming. #lovely,0.8555,Positive
I hate this weather. It’s so stormy and windy. #stormy,0.7671,Negative
@mention I’m proud of you. I hope you keep it up. #proud,0.6725,Neutral / author is just sharing information
Going to the gym with my friend. We’re going to exercise and sweat. #gym {link},0.725,Tweet not related to weather condition
Today is a splendid day. The air is fresh and the trees are green. #splendid,0.8568,Positive
I hate this weather. It’s so chilly and rainy. #chilly,0.7633,Negative
@mention I’m surprised by you. I hope you explain yourself. #surprised,0.6692,Neutral / author is just sharing information
Going to the mall with my mom. We’re going to shop and spend. #mall {link},0.7232,Tweet not related to weather condition
Today is a fantastic day. The stars are bright and the moon is full. #fantastic,0.8574,Positive
I hate this weather. It’s so cloudy and dark. #cloudy,0.7621,Negative
@mention I’m impressed by you. I hope you continue to grow. #impressed,0.6732,Neutral / author is just sharing information
Going to the zoo with my dad. We’re going to see and learn. #zoo {link},0.7244,Tweet not related to weather condition
Today is a marvelous day. The rainbow is colorful and the birds are chirping. #marvelous,0.858,Positive
I hate this weather. It’s so windy and dusty. #windy,0.7609,Negative
@mention I’m disappointed by you. I hope you apologize. #disappointed,0.668,Neutral / author is just sharing information
Going to the spa with my partner. We’re going to relax and pamper. #spa {link},0.7224,Tweet not related to weather condition
Today is a amazing day. The snow is white and the fire is warm. #amazing,0.8586,Positive
I hate this weather. It’s so stormy and scary. #stormy,0.7597,Negative
@mention I’m grateful to you. I hope you know how much I appreciate you. #grateful,0.674,Neutral / author is just sharing information
Going to the school with my teacher. We’re going to study and improve. #school {link},0.7216,Tweet not related to weather condition
Today is a awesome day. The lake is calm and the boat is ready. #awesome,0.8592,Positive
I hate this weather. It’s so smoggy and polluted. #smoggy,0.7585,Negative
@mention I’m curious about you. I hope you tell me more. #curious,0.6688,Neutral / author is just sharing information
Going to the restaurant with my family. We’re going to eat and enjoy. #restaurant {link},0.7208,Tweet not related to weather condition
Today is a great day. The grass is soft and the picnic is prepared. #great,0.8598,Positive
I hate this weather. It’s so icy and slippery. #icy,0.7573,Negative
@mention I’m excited for you. I hope you have a blast. #excited,0.6756,Neutral / author is just sharing information
Going to the concert with my bestie. We’re going to listen and dance. #concert {link},0.72,Tweet not related to weather condition
Today is a nice day. The temperature is perfect and the breeze is cool. #nice,0.8604,Positive
I hate this weather. It’s so muddy and dirty. #muddy,0.7561,Negative
@mention I’m sad for you. I hope you feel better soon. #sad,0.6676,Neutral / author is just sharing information
Going to the museum with my class. We’re going to learn and explore. #museum {link},0.7192,Tweet not related to weather condition
Today is a good day. The coffee is hot and the toast is crispy. #good,0.861,Positive
I hate this weather. It’s so hazy and dull. #hazy,0.7549,Negative
@mention I’m happy for you. I hope you enjoy yourself. #happy,0.6764,Neutral / author is just sharing information
Going to the party with my crush. We’re going to talk and flirt. #party {link},0.7184,Tweet not related to weather condition
Today is a cool day. The music is loud and the mood is high. #cool,0.8616,Positive
I hate this weather. It’s so sunny and bright. #sunny,0.7537,Negative
@mention I’m angry with you. I hope you realize your mistake. #angry,0.6664,Neutral / author is just sharing information
Going to the game with my team. We’re going to play and win. #game {link},0.7176,Tweet not related to weather condition
Today is a fun day. The carnival is open and the rides are thrilling. #fun,0.8622,Positive
I hate this weather. It’s so rainy and wet. #rainy,0.7525,Negative
@mention I’m sorry for you. I hope you get through this. #sorry,0.6772,Neutral / author is just sharing information
Going to the church with my grandma. We’re going to pray and worship. #church {link},0.7168,Tweet not related to weather condition
Today is a sweet day. The cake is delicious and the candles are lit. #sweet,0.8628,Positive
I hate this weather. It’s so dry and arid. #dry,0.7513,Negative
@mention I’m amazed by you. I hope you keep surprising me. #amazed,0.6652,Neutral / author is just sharing information
Going to the market with my neighbor. We’re going to buy and bargain. #market {link},0.716,Tweet not related to weather condition
Today is a relaxing day. The bath is warm and the bubbles are soft. #relaxing,0.8634,Positive
I hate this weather. It’s so foggy and misty. #foggy,0.7501,Negative
@mention I’m inspired by you. I hope you keep creating. #inspired,0.678,Neutral / author is just sharing information
Going to the farm with my uncle. We’re going to feed and pet. #farm {link},0.7152,Tweet not related to weather condition
Today is a cozy day. The blanket is fluffy and the book is interesting. #cozy,0.864,Positive
I hate this weather. It’s so dull and dreary. #dull,0.7441,Negative
@mention I’m interested in you. I hope you feel the same. #interested,0.6596,Neutral / author is just sharing information
Going to the bakery with my aunt. We’re going to taste and buy. #bakery {link},0.7104,Tweet not related to weather condition
Today is a charming day. The pond is clear and the ducks are quacking. #charming,0.8642,Positive
I hate this weather. It’s so wet and slippery. #wet,0.7431,Negative
@mention I’m sorry with you. I hope you forgive me. #sorry,0.6588,Neutral / author is just sharing information
Going to the club with my date. We’re going to drink and kiss. #club {link},0.7096,Tweet not related to weather condition
Today is a delightful day. The cake is moist and the frosting is sweet. #delightful,0.8648,Positive
I hate this weather. It’s so dry and cracked. #dry,0.7421,Negative
@mention I’m happy with you. I hope you stay with me. #happy,0.66,Neutral / author is just sharing information
Going to the salon with my friend. We’re going to cut and dye. #salon {link},0.7088,Tweet not related to weather condition
Today is a gorgeous day. The ocean is blue and the waves are crashing. #gorgeous,0.8654,Positive
I hate this weather. It’s so smoky and fiery. #smoky,0.7411,Negative
@mention I’m angry at you. I hope you change your ways. #angry,0.6572,Neutral / author is just sharing information
Going to the casino with my cousin. We’re going to gamble and lose. #casino {link},0.708,Tweet not related to weather condition
Today is a stunning day. The mountain is high and the snow is sparkling. #stunning,0.866,Positive
I hate this weather. It’s so stormy and thunderous. #stormy,0.7401,Negative
@mention I’m proud of you. I hope you keep shining. #proud,0.6612,Neutral / author is just sharing information
Going to the karaoke with my sister. We’re going to sing and scream. #karaoke {link},0.7072,Tweet not related to weather condition
I hate this weather. It’s so foggy and damp. #foggy,0.7371,Negative
Going to the park with my grandma. We’re going to feed and watch. #park {link},0.7032,Tweet not related to weather condition
Going to the mall with my cousin. We’re going to shop and spend. #mall {link},0.7024,Tweet not related to weather condition
I hate this weather. It’s so cold and snowy. #cold,0.7351,Negative
Going to the cinema with my friend. We’re going to watch and enjoy. #cinema {link},0.7016,Tweet not related to weather condition
I hate this weather. It’s so hot and dry. #hot,0.7341,Negative
I love this weather. It’s so sunny and warm. #sunny,0.8742,Positive
I hate this weather. It’s so cold and frosty. #cold,0.7271,Negative
Today is a cheerful day. The balloons are flying and the kids are laughing. #cheerful,0.8748,Positive
Today is a dreamy day. The clouds are fluffy and the sky is pink. #dreamy,0.8754,Positive
I hate this weather. It’s so smoky and ashy. #smoky,0.7241,Negative
I love this weather. It’s so crisp and clean. #crisp,0.8772,Positive
I hate this weather. It’s so foggy and murky. #foggy,0.7221,Negative
Today is a fabulous day. The rainbow is colorful and the birds are chirping. #fabulous,0.8778,Positive
I hate this weather. It’s so humid and muggy. #humid,0.7211,Negative
Today is a awesome day. The snow is white and the fire is warm. #awesome,0.8784,Positive
I hate this weather. It’s so hot and sweaty. #hot,0.7201,Negative
I love this weather. It’s so calm and peaceful. #calm,0.8822,Positive
I hate this weather. It’s so noisy and chaotic. #noisy,0.7141,Negative
@mention I’m fond of you. I hope you like me too. #fond,0.6376,Neutral / author is just sharing information
Going to the lake with my grandpa. We’re going to fish and relax. #lake {link},0.6844,Tweet not related to weather condition
Today is a blissful day. The sun is warm and the breeze is cool. #blissful,0.8828,Positive
@mention I’m loyal to you. I hope you trust me. #loyal,0.6368,Neutral / author is just sharing information
Going to the mountain with my dad. We’re going to ski and slide. #mountain {link},0.6836,Tweet not related to weather condition
Going to the forest with my mom. We’re going to walk and enjoy. #forest {link},0.6828,Tweet not related to weather condition
I hate this weather. It’s so cold and shivery. #cold,0.7111,Negative
@mention I’m jealous of you. I hope you share some pictures. #jealous,0.6352,Neutral / author is just sharing information
Going to the beach with my aunt. We’re going to swim and sunbathe. #beach {link},0.682,Tweet not related to weather condition
I love this weather. It’s so fresh and clean. #fresh,0.8788,Positive
I hate this weather. It’s so dull and dirty. #dull,0.7111,Negative
I hate this weather. It’s so wet and soggy. #wet,0.7101,Negative
Snow day! Time to curl up with a good book and a hot chocolate. #winterwonderland,0.7634,Positive
Can't believe how hot it is today. I'm sweating like a pig. #globalwarming,0.6812,Negative
@mention Thanks for the weather update. I hope you stay safe and dry. {link},0.5943,Neutral / author is just sharing information
Who else is excited for the meteor shower tonight? #stargazing,0.8321,Positive
This fog is so thick I can barely see anything. #drivesafe,0.7126,Negative
Check out this amazing rainbow I saw on my way home. #natureisbeautiful {link},0.7865,Positive
Another day of rain and gloom. I need some sunshine in my life. #depressed,0.7419,Negative
"Wow, this storm is crazy. I can hear thunder and lightning. #scared",0.6587,Negative
Happy Earth Day! Let's all do our part to protect our planet and its climate. #earthday,0.6198,Neutral / author is just sharing information
Love this song! It always reminds me of summer and the beach. #goodvibes {link},0.6475,Tweet not related to weather condition
Beautiful sunset today. I love this time of the year. #nofilter {link},0.7798,Positive
I hate this weather. It's so cold and windy. #brrr,0.6984,Negative
@mention I'm sorry to hear that. I hope you feel better soon. #getwellsoon,0.6236,Neutral / author is just sharing information
"OMG, I just won a trip to Hawaii! Thank you so much @mention for this amazing opportunity. #bestdayever {link}",0.6743,Tweet not related to weather condition
Feeling grateful for this sunny day. It's been raining for weeks. #thankyou,0.8129,Positive
"Ugh, I hate snow. It's so messy and slippery. #snowday",0.7361,Negative
@mention No problem. Glad you liked it. {link},0.5921,Neutral / author is just sharing information
Can't wait to go to the beach this weekend. It's going to be so much fun. #summer,0.7912,Positive
This heat wave is killing me. I need some AC. #toohot,0.7035,Negative
"Wow, look at this hailstorm. It's like the sky is falling. #crazyweather {link}",0.6514,Neutral / author is just sharing information
Happy birthday to me! I'm having a blast with my friends and family. #blessed {link},0.6627,Tweet not related to weather condition
Today is a perfect day for a picnic. The sky is blue and the breeze is gentle. #nature,0.8346,Positive
I'm so sick of this rain. It's ruining my mood. #rainyday,0.7486,Negative
@mention You're welcome. I'm glad you enjoyed it. {link},0.6012,Neutral / author is just sharing information
Going skiing with my buddies. It's going to be awesome. #snow,0.7821,Positive
This humidity is unbearable. I feel like I'm in a sauna. #sweaty,0.7194,Negative
Look at this cute puppy I found on the street. He was shivering in the cold. #adoptdontshop {link},0.6389,Tweet not related to weather condition
Feeling cozy in my new sweater. It's so soft and warm. #winterfashion,0.7643,Positive
